الدين,الجنسيه,الحزب السياسي,الاسم
الشيعة ,لبناني (مترجمه),-,عباس الموسوي 
-,فلسطينيون ,-,ابو نضال
-,-,جمهوري ,ألكسندر هيغ 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,إسرائيلي (مترجمه),-,أفي شلايم 
-,إسرائيلي (مترجمه),-,بيني موريس 
-,-,جمهوري ,كاسبار واينبرغر 
-,-,-,ديفيد إيفري 
-,لبناني (مترجمه),nan,إلياس سركيس 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,فادي أفرام 
-,-,-,غازيت شلومو 
-,لبناني (مترجمه),"الحاجة إلى اقتباس من حركة اليسار الديمقراطي ,الحزب الشيوعي اللبناني ,نوفمبر ",جورج حاوي 
-,-,ديمقراطي ,جورج بال (دبلوماسي) 
-,لبناني (مترجمه),-,حبيب طانيوس شرتوني
-,-,nan,حافظ الاسد
-,النيجر (مترجمه),-,ايد أومارو 
-,لبناني (مترجمه),حزب الله ,عماد مغنيه
-,-,المؤتمر الوطني الأفريقي ,قادر أسمال 
-,-,-,كاي بيرد 
-,-,حزب الشعب النمساوي ,كورت فالدهايم 
-,-,-,محسوم كوركماز 
-,بريطاني (مترجمه),-,مارتن جيلبرت 
-,-,-,مونتي ملكونيان 
-,لبناني (مترجمه),"الحركة الوطنية اللبنانية ,منظمة العمل الشيوعي في لبنان ,حركة القوميين العرب ,جبهة المقاومة الوطنية اللبنانية ,منظمة الاشتراكيين اللبنانيين ",محسن إبراهيم 
-,-,-,مراد قرايلان 
-,سوريون ,"حزب البعث العربي الاشتراكي - إقليم سوريا التابع لحزب البعث العربي الاشتراكي ,كان عضوا في حزب البعث الأصلي وفرعه الإقليمي السوري حتى ",مصطفى طلاس 
-,لبناني (مترجمه),حركة أمل ,نبيه بري 
-,-,-,نعوم تشومسكي 
-,-,-,اسامه بن لادن
-,بريطاني (مترجمه),-,باتريك سيل 
-,أمريكي (مترجمه),-,فيليب حبيب
-,لبناني و سعودي (مترجمه),تيار المستقبل ,رفيق الحريري 
-,لبناني (مترجمه),-,راغب حرب
-,لبناني (مترجمه),"مرتبط ,الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية ,مستقل (توضيح) ",رشيد كرامي 
-,-,-,ريتشارد أ. فلك 
-,-,-,روبرت فيسك 
-,-,-,سعد حداد
-,فلسطينيون ,-,سعد صايل
-,-,-,سعيد المراغة 
-,ايرلندية (مترجمه),أبناء الجمهورية ,شون ماكبرايد 
-,إسرائيلي (مترجمه),-,شلومو أرجوف 
-,-,-,توماس فريدمان 
-,-,-,خليل الوزير 
-,فلسطينيون ,حركة فتح ,ياسر عرفات
-,-,-,ييكوتيل آدم 
-,الروسية (مترجمه),"مستقل (توضيح) ,الحزب الشيوعي السوفيتي ,الوطن - كل روسيا ",يفكيني بريماكوف 
-,-,-,زئيف الموج 
