اسم التقسيم,نوع التقسيم,الاسم
"لبنان ,علم (راية) ",بلد ,-1
"لبنان ,علم (راية) ",بلد ,عاليه (لبنان) 
إسرائيل ,بلد ,أسدود 
-,-,العراق 
"لبنان ,بلد العلم (مترجمه)",بلد ,بعبدا 
-,-,باربادوس 
لبنان ,بلد ,بيروت 
"لبنان ,علم (راية) ",بلد ,قضاء الشوف 
سوريا ,بلد ,دمشق 
,بلد ,الدامور 
-,-,جمهورية الدومينيكان 
-,-,مصر 
-,-,فرنسا 
-,-,جنوب لبنان 
"معترف بها دوليًا باسم تيري السورية (مترجمه),ry التي تحتلها إسرائيل n (مترجمه),مجموعة (توضيح) ,ملاحظة (مترجمه),اعترفت الولايات المتحدة بالسيادة الإسرائيلية على الجولان في مارس / آذار. الولايات المتحدة هي أول دولة تعترف بالجولان كأرض إسرائيلية (مترجمه),بينما لا يزال باقي المجتمع الدولي يعتبرها أرضاً سورية محتلة من قبل إسرائيل (مترجمه),انظر وضع مرتفعات الجولان (مترجمه)",حالة (مترجمه),هضبة الجولان 
"إسرائيل ,علم (مترجمه)",بلد ,حيفا 
"لبنان ,علم (راية) ",بلد ,حاصبيا 
-,-,آيسلندا 
-,-,العراق 
-,-,إسرائيل 
-,-,ساحل العاج 
,بلد ,جزين 
-,-,الأردن 
-,-,مصر 
-,-,العراق 
-,-,الكويت 
-,-,لبنان 
-,-,ليبيا 
-,-,لوكسمبورغ 
-,-,المغرب 
"لبنان ,بلد العلم (مترجمه)",بلد ,النبطية 
"لبنان ,بلد العلم (مترجمه)",بلد ,النبطية 
-,-,النيجر 
-,-,كوريا الشمالية 
-,-,السلطة الوطنية الفلسطينية 
-,-,بابوا غينيا الجديدة 
"لبنان ,بلد العلم (مترجمه)",بلد ,-1
-,-,السعودية 
-,-,الجمهورية السورية (مترجمه)
لبنان ,بلد ,صيدا 
-,-,جمهورية اليمن الديمقراطية الشعبية 
-,-,الاتحاد السوفيتي 
-,-,سوريا 
,بلد ,الطيبة (المثلث) 
-,بلد ,طرابلس 
"لبنان ,علم (راية) ",بلد ,صور (توضيح) 
"لبنان ,علم (راية) ",بلد ,صور (توضيح) 
-,-,الإمارات العربية المتحدة 
-,-,الجمهورية العربية المتحدة 
-,-,المملكة المتحدة 
-,-,الولايات المتحدة 
-,-,اليمن 
-,-,اليمن الشمالي 
"لبنان ,علم (راية) ",بلد ,الزرارية 
